VaccinationRate,Run,Day,Susceptible,Infectious,Recovered,Vaccinated
10,3,9,21169,5812,19,3000
10,3,10,14908,12036,56,3000
10,3,11,7250,19603,147,3000
10,3,12,2260,24353,387,3000
10,3,13,529,25512,959,3000
10,3,14,126,24431,2443,3000
10,3,15,29,21140,5831,3000
10,3,16,11,14897,12092,3000
10,3,17,3,7247,19750,3000
10,3,18,1,2259,24740,3000
10,3,19,1,528,26471,3000
10,3,20,1,125,26874,3000
10,3,21,1,28,26971,3000
10,3,22,1,10,26989,3000
10,3,23,1,2,26997,3000
10,4,0,26999,1,0,3000
10,4,1,26998,2,0,3000
10,4,2,26994,6,0,3000
10,4,3,26983,17,0,3000
10,4,4,26955,45,0,3000
10,4,5,26884,116,0,3000
10,4,6,26689,311,0,3000
10,4,7,26202,796,2,3000
10,4,8,24998,1996,6,3000
10,4,9,22169,4814,17,3000
10,4,10,16597,10358,45,3000
10,4,11,8865,18019,116,3000
10,4,12,3005,23684,311,3000
10,4,13,685,25517,798,3000
10,4,14,135,24863,2002,3000
10,4,15,31,22138,4831,3000
10,4,16,9,16588,10403,3000
10,4,17,4,8861,18135,3000
10,4,18,1,3004,23995,3000
10,4,19,1,684,26315,3000
10,4,20,0,135,26865,3000
10,4,21,0,31,26969,3000
10,4,22,0,9,26991,3000
10,4,23,0,4,26996,3000
10,4,24,0,1,26999,3000
10,4,25,0,1,26999,3000
10,5,0,26999,1,0,3000
10,5,1,26998,2,0,3000
10,5,2,26996,4,0,3000
10,5,3,26993,7,0,3000
10,5,4,26983,17,0,3000
10,5,5,26960,40,0,3000
10,5,6,26896,104,0,3000
10,5,7,26757,241,2,3000
10,5,8,26373,623,4,3000
10,5,9,25433,1560,7,3000
10,5,10,23226,3757,17,3000
10,5,11,18545,8415,40,3000
10,5,12,11179,15717,104,3000
10,5,13,4353,22404,243,3000
10,5,14,1141,25232,627,3000
10,5,15,248,25185,1567,3000
10,5,16,54,23172,3774,3000
10,5,17,9,18536,8455,3000
10,5,18,1,11178,15821,3000
10,5,19,1,4352,22647,3000
10,5,20,1,1140,25859,3000
10,5,21,1,247,26752,3000
10,5,22,1,53,26946,3000
10,5,23,1,8,26991,3000
20,1,0,23999,1,0,6000
20,1,1,23997,3,0,6000
20,1,2,23992,8,0,6000
20,1,3,23985,15,0,6000
20,1,4,23962,38,0,6000
20,1,5,23903,97,0,6000
20,1,6,23780,220,0,6000
20,1,7,23459,538,3,6000
20,1,8,22714,1278,8,6000
20,1,9,21041,2944,15,6000
20,1,10,17656,6306,38,6000
20,1,11,12012,11891,97,6000
20,1,12,5966,17814,220,6000
20,1,13,2029,21430,541,6000
20,1,14,564,22150,1286,6000
20,1,15,142,20899,2959,6000
20,1,16,37,17619,6344,6000
20,1,17,10,12002,11988,6000
20,1,18,7,5959,18034,6000
20,1,19,6,2023,21971,6000
20,1,20,6,558,23436,6000
20,1,21,5,137,23858,6000
20,1,22,5,32,23963,6000
20,1,23,5,5,23990,6000
20,1,24,5,2,23993,6000
20,1,25,5,1,23994,6000
20,1,26,5,1,23994,6000
20,2,0,23999,1,0,6000
20,2,1,23998,2,0,6000
20,2,2,23996,4,0,6000
20,2,3,23989,11,0,6000
20,2,4,23973,27,0,6000
20,2,5,23933,67,0,6000
20,2,6,23826,174,0,6000
20,2,7,23592,406,2,6000
20,2,8,23050,946,4,6000
20,2,9,21796,2193,11,6000
20,2,10,19173,4800,27,6000
20,2,11,14358,9575,67,6000
20,2,12,8042,15784,174,6000
20,2,13,3028,20564,408,6000
20,2,14,898,22152,950,6000
20,2,15,232,21564,2204,6000
20,2,16,54,19119,4827,6000
20,2,17,18,14340,9642,6000
20,2,18,8,8034,15958,6000
20,2,19,6,3022,20972,6000
20,2,20,6,892,23102,6000
20,2,21,6,226,23768,6000
20,2,22,6,48,23946,6000
20,2,23,6,12,23982,6000
20,2,24,6,2,23992,6000
20,3,0,23999,1,0,6000
20,3,1,23998,2,0,6000
20,3,2,23993,7,0,6000
20,3,3,23983,17,0,6000
20,3,4,23955,45,0,6000
20,3,5,23892,108,0,6000
20,3,6,23738,262,0,6000
20,3,7,23390,608,2,6000
20,3,8,22522,1471,7,6000
20,3,9,20535,3448,17,6000
20,3,10,16753,7202,45,6000
20,3,11,10886,13006,108,6000
20,3,12,4886,18852,262,6000
20,3,13,1550,21840,610,6000
20,3,14,400,22122,1478,6000
20,3,15,114,20421,3465,6000
20,3,16,38,16715,7247,6000
20,3,17,16,10870,13114,6000
20,3,18,10,4876,19114,6000
20,3,19,6,1544,22450,6000
20,3,20,4,396,23600,6000
20,3,21,4,110,23886,6000
20,3,22,4,34,23962,6000
20,3,23,4,12,23984,6000
20,3,24,4,6,23990,6000
20,3,25,4,2,23994,6000
20,4,0,23999,1,0,6000
20,4,1,23998,2,0,6000
20,4,2,23996,4,0,6000
20,4,3,23989,11,0,6000
20,4,4,23978,22,0,6000
20,4,5,23938,62,0,6000
20,4,6,23839,161,0,6000
20,4,7,23614,384,2,6000
20,4,8,23078,918,4,6000
20,4,9,21857,2132,11,6000
20,4,10,19176,4802,22,6000
20,4,11,14303,9635,62,6000
20,4,12,8004,15835,161,6000
20,4,13,3129,20485,386,6000
20,4,14,858,22220,922,6000
20,4,15,237,21620,2143,6000
20,4,16,60,19116,4824,6000
20,4,17,12,14291,9697,6000
20,4,18,7,7997,15996,6000
20,4,19,6,3123,20871,6000
20,4,20,5,853,23142,6000
20,4,21,5,232,23763,6000
20,4,22,5,55,23940,6000
20,4,23,5,7,23988,6000
20,4,24,5,2,23993,6000
20,4,25,5,1,23994,6000
20,5,0,23999,1,0,6000
20,5,1,23997,3,0,6000
20,5,2,23991,9,0,6000
20,5,3,23974,26,0,6000
20,5,4,23932,68,0,6000
20,5,5,23836,164,0,6000
20,5,6,23613,387,0,6000
20,5,7,23067,930,3,6000
20,5,8,21773,2218,9,6000
20,5,9,19012,4962,26,6000
20,5,10,14110,9822,68,6000
20,5,11,7753,16083,164,6000
20,5,12,2918,20695,387,6000
20,5,13,873,22194,933,6000
20,5,14,209,21564,2227,6000
20,5,15,62,18950,4988,6000
20,5,16,19,14091,9890,6000
20,5,17,11,7742,16247,6000
20,5,18,9,2909,21082,6000
20,5,19,7,866,23127,6000
20,5,20,5,204,23791,6000
20,5,21,5,57,23938,6000
20,5,22,5,14,23981,6000
20,5,23,5,6,23989,6000
20,5,24,5,4,23991,6000
20,5,25,5,2,23993,6000
30,1,0,20999,1,0,9000
30,1,1,20999,1,0,9000
30,1,2,20999,1,0,9000
30,1,3,20998,2,0,9000
30,1,4,20995,5,0,9000
30,1,5,20992,8,0,9000
30,1,6,20981,19,0,9000
30,1,7,20956,43,1,9000
30,1,8,20884,115,1,9000
30,1,9,20732,266,2,9000
30,1,10,20405,590,5,9000
30,1,11,19708,1284,8,9000
30,1,12,18254,2727,19,9000
30,1,13,15532,5424,44,9000
30,1,14,11315,9569,116,9000
30,1,15,6370,14362,268,9000
30,1,16,2699,17706,595,9000
30,1,17,968,18740,1292,9000
30,1,18,318,17936,2746,9000
30,1,19,124,15408,5468,9000
30,1,20,44,11271,9685,9000
30,1,21,22,6348,14630,9000
30,1,22,15,2684,18301,9000
30,1,23,14,954,20032,9000
30,1,24,11,307,20682,9000
30,1,25,11,113,20876,9000
30,1,26,11,33,20956,9000
30,1,27,11,11,20978,9000
30,1,28,11,4,20985,9000
30,1,29,11,3,20986,9000
30,2,0,20999,1,0,9000
30,2,1,20998,2,0,9000
30,2,2,20994,6,0,9000
30,2,3,20986,14,0,9000
30,2,4,20959,41,0,9000
30,2,5,20911,89,0,9000
30,2,6,20804,196,0,9000
30,2,7,20534,464,2,9000
30,2,8,19965,1029,6,9000
30,2,9,18774,2212,14,9000
30,2,10,16435,4524,41,9000
30,2,11,12457,8454,89,9000
30,2,12,7526,13278,196,9000
30,2,13,3424,17110,466,9000
30,2,14,1196,18769,1035,9000
30,2,15,394,18380,2226,9000
30,2,16,125,16310,4565,9000
30,2,17,46,12411,8543,9000
30,2,18,21,7505,13474,9000
30,2,19,12,3412,17576,9000
30,2,20,11,1185,19804,9000
30,2,21,10,384,20606,9000
30,2,22,10,115,20875,9000
30,2,23,10,36,20954,9000
30,2,24,10,11,20979,9000
30,2,25,10,2,20988,9000
30,2,26,10,1,20989,9000
30,3,0,20999,1,0,9000
30,3,1,20997,3,0,9000
30,3,2,20991,9,0,9000
30,3,3,20977,23,0,9000
30,3,4,20952,48,0,9000
30,3,5,20887,113,0,9000
30,3,6,20763,237,0,9000
30,3,7,20501,496,3,9000
30,3,8,19932,1059,9,9000
30,3,9,18708,2269,23,9000
30,3,10,16353,4599,48,9000
30,3,11,12478,8409,113,9000
30,3,12,7532,13231,237,9000
30,3,13,3428,17073,499,9000
30,3,14,1252,18680,1068,9000
30,3,15,436,18272,2292,9000
30,3,16,160,16193,4647,9000
30,3,17,69,12409,8522,9000
30,3,18,32,7500,13468,9000
30,3,19,20,3408,17572,9000
30,3,20,16,1236,19748,9000
30,3,21,15,421,20564,9000
30,3,22,15,145,20840,9000
30,3,23,15,54,20931,9000
30,3,24,15,17,20968,9000
30,3,25,15,5,20980,9000
30,3,26,15,1,20984,9000
30,4,0,20999,1,0,9000
30,4,1,20999,1,0,9000
30,4,2,20998,2,0,9000
30,4,3,20997,3,0,9000
30,4,4,20992,8,0,9000
30,4,5,20978,22,0,9000
30,4,6,20943,57,0,9000
30,4,7,20869,130,1,9000
30,4,8,20702,296,2,9000
30,4,9,20338,659,3,9000
30,4,10,19591,1401,8,9000
30,4,11,18065,2913,22,9000
30,4,12,15200,5743,57,9000
30,4,13,10790,10079,131,9000
30,4,14,5912,14790,298,9000
30,4,15,2432,17906,662,9000
30,4,16,833,18758,1409,9000
30,4,17,260,17805,2935,9000
30,4,18,96,15104,5800,9000
30,4,19,42,10748,10210,9000
30,4,20,22,5890,15088,9000
30,4,21,16,2416,18568,9000
30,4,22,15,818,20167,9000
30,4,23,14,246,20740,9000
30,4,24,14,82,20904,9000
30,4,25,14,28,20958,9000
30,4,26,14,8,20978,9000
30,4,27,14,2,20984,9000
30,4,28,14,1,20985,9000
30,5,0,20999,1,0,9000
30,5,1,20996,4,0,9000
30,5,2,20990,10,0,9000
30,5,3,20976,24,0,9000
30,5,4,20946,54,0,9000
30,5,5,20880,120,0,9000
30,5,6,20736,264,0,9000
30,5,7,20414,582,4,9000
30,5,8,19734,1256,10,9000
30,5,9,18301,2675,24,9000
30,5,10,15608,5338,54,9000
30,5,11,11362,9518,120,9000
30,5,12,6385,14351,264,9000
30,5,13,2691,17723,586,9000
30,5,14,931,18803,1266,9000
30,5,15,296,18005,2699,9000
30,5,16,98,15510,5392,9000
30,5,17,42,11320,9638,9000
30,5,18,21,6364,14615,9000
30,5,19,9,2682,18309,9000
30,5,20,5,926,20069,9000
30,5,21,5,291,20704,9000
30,5,22,5,93,20902,9000
30,5,23,5,37,20958,9000
30,5,24,5,16,20979,9000
30,5,25,5,4,20991,9000
40,1,0,17999,1,0,12000
40,1,1,17999,1,0,12000
40,1,2,17998,2,0,12000
40,1,3,17994,6,0,12000
40,1,4,17990,10,0,12000
40,1,5,17974,26,0,12000
40,1,6,17947,53,0,12000
40,1,7,17891,108,1,12000
40,1,8,17764,234,2,12000
40,1,9,17511,483,6,12000
40,1,10,17039,951,10,12000
40,1,11,16074,1900,26,12000
40,1,12,14367,3580,53,12000
40,1,13,11568,6323,109,12000
40,1,14,7911,9853,236,12000
40,1,15,4349,13162,489,12000
40,1,16,2006,15033,961,12000
40,1,17,812,15262,1926,12000
40,1,18,341,14026,3633,12000
40,1,19,144,11424,6432,12000
40,1,20,77,7834,10089,12000
40,1,21,50,4299,13651,12000
40,1,22,43,1963,15994,12000
40,1,23,38,774,17188,12000
40,1,24,34,307,17659,12000
40,1,25,33,111,17856,12000
40,1,26,33,44,17923,12000
40,1,27,33,17,17950,12000
40,1,28,33,10,17957,12000
40,1,29,33,5,17962,12000
40,1,30,33,1,17966,12000
40,2,0,17999,1,0,12000
40,2,1,17999,1,0,12000
40,2,2,17996,4,0,12000
40,2,3,17991,9,0,12000
40,2,4,17983,17,0,12000
40,2,5,17965,35,0,12000
40,2,6,17930,70,0,12000
40,2,7,17859,140,1,12000
40,2,8,17716,280,4,12000
40,2,9,17434,557,9,12000
40,2,10,16885,1098,17,12000
40,2,11,15810,2155,35,12000
40,2,12,13887,4043,70,12000
40,2,13,10851,7008,141,12000
40,2,14,7139,10577,284,12000
40,2,15,3829,13605,566,12000
40,2,16,1715,15170,1115,12000
40,2,17,667,15143,2190,12000
40,2,18,263,13624,4113,12000
40,2,19,111,10740,7149,12000
40,2,20,60,7079,10861,12000
40,2,21,41,3788,14171,12000
40,2,22,35,1680,16285,12000
40,2,23,33,634,17333,12000
40,2,24,32,231,17737,12000
40,2,25,32,79,17889,12000
40,2,26,32,28,17940,12000
40,2,27,32,9,17959,12000
40,2,28,32,3,17965,12000
40,2,29,32,1,17967,12000
40,3,0,17999,1,0,12000
40,3,1,17997,3,0,12000
40,3,2,17995,5,0,12000
40,3,3,17992,8,0,12000
40,3,4,17982,18,0,12000
40,3,5,17963,37,0,12000
40,3,6,17929,71,0,12000
40,3,7,17847,150,3,12000
40,3,8,17701,294,5,12000
40,3,9,17388,604,8,12000
40,3,10,16780,1202,18,12000
40,3,11,15623,2340,37,12000
40,3,12,13601,4328,71,12000
40,3,13,10453,7394,153,12000
40,3,14,6640,11061,299,12000
40,3,15,3394,13994,612,12000
40,3,16,1446,15334,1220,12000
40,3,17,568,15055,2377,12000
40,3,18,242,13359,4399,12000
40,3,19,107,10346,7547,12000
40,3,20,60,6580,11360,12000
40,3,21,39,3355,14606,12000
40,3,22,35,1411,16554,12000
40,3,23,35,533,17432,12000
40,3,24,32,210,17758,12000
40,3,25,32,75,17893,12000
40,3,26,32,28,17940,12000
40,3,27,32,7,17961,12000
40,3,28,32,3,17965,12000
40,3,29,32,3,17965,12000
40,4,0,17999,1,0,12000
40,4,1,17999,1,0,12000
40,4,2,17998,2,0,12000
40,4,3,17995,5,0,12000
40,4,4,17991,9,0,12000
40,4,5,17977,23,0,12000
40,4,6,17951,49,0,12000
40,4,7,17896,103,1,12000
40,4,8,17801,197,2,12000
40,4,9,17571,424,5,12000
40,4,10,17117,874,9,12000
40,4,11,16239,1738,23,12000
40,4,12,14679,3272,49,12000
40,4,13,12088,5808,104,12000
40,4,14,8572,9229,199,12000
40,4,15,4921,12650,429,12000
40,4,16,2321,14796,883,12000
40,4,17,937,15302,1761,12000
40,4,18,382,14297,3321,12000
40,4,19,164,11924,5912,12000
40,4,20,79,8493,9428,12000
40,4,21,41,4880,13079,12000
40,4,22,30,2291,15679,12000
40,4,23,22,915,17063,12000
40,4,24,21,361,17618,12000
40,4,25,21,143,17836,12000
40,4,26,21,58,17921,12000
40,4,27,21,20,17959,12000
40,4,28,21,9,17970,12000
40,4,29,21,1,17978,12000
40,5,0,17999,1,0,12000
40,5,1,17999,1,0,12000
40,5,2,17999,1,0,12000
40,5,3,17998,2,0,12000
40,5,4,17996,4,0,12000
40,5,5,17994,6,0,12000
40,5,6,17989,11,0,12000
40,5,7,17975,24,1,12000
40,5,8,17961,38,1,12000
40,5,9,17919,79,2,12000
40,5,10,17842,154,4,12000
40,5,11,17664,330,6,12000
40,5,12,17320,669,11,12000
40,5,13,16629,1346,25,12000
40,5,14,15354,2607,39,12000
40,5,15,13103,4816,81,12000
40,5,16,9704,8138,158,12000
40,5,17,5958,11706,336,12000
40,5,18,2920,14400,680,12000
40,5,19,1189,15440,1371,12000
40,5,20,473,14881,2646,12000
40,5,21,202,12901,4897,12000
40,5,22,90,9614,8296,12000
40,5,23,45,5913,12042,12000
40,5,24,30,2890,15080,12000
40,5,25,26,1163,16811,12000
40,5,26,25,448,17527,12000
40,5,27,25,177,17798,12000
40,5,28,25,65,17910,12000
40,5,29,24,21,17955,12000
40,5,30,24,6,17970,12000
40,5,31,24,2,17974,12000
40,5,32,24,1,17975,12000
40,5,33,24,1,17975,12000
40,5,34,24,1,17975,12000
50,1,0,14999,1,0,15000
50,1,1,14996,4,0,15000
50,1,2,14993,7,0,15000
50,1,3,14988,12,0,15000
50,1,4,14980,20,0,15000
50,1,5,14959,41,0,15000
50,1,6,14923,77,0,15000
50,1,7,14857,139,4,15000
50,1,8,14727,266,7,15000
50,1,9,14488,500,12,15000
50,1,10,14062,918,20,15000
50,1,11,13309,1650,41,15000
50,1,12,12084,2839,77,15000
50,1,13,10167,4690,143,15000
50,1,14,7675,7052,273,15000
50,1,15,4986,9502,512,15000
50,1,16,2898,11164,938,15000
50,1,17,1448,11861,1691,15000
50,1,18,706,11378,2916,15000
50,1,19,354,9813,4833,15000
50,1,20,189,7486,7325,15000
50,1,21,124,4862,10014,15000
50,1,22,87,2811,12102,15000
50,1,23,65,1383,13552,15000
50,1,24,63,643,14294,15000
50,1,25,60,294,14646,15000
50,1,26,59,130,14811,15000
50,1,27,59,65,14876,15000
50,1,28,59,28,14913,15000
50,1,29,59,6,14935,15000
50,1,30,59,4,14937,15000
50,1,31,59,1,14940,15000
50,2,0,14999,1,0,15000
50,2,1,14998,2,0,15000
50,2,2,14995,5,0,15000
50,2,3,14989,11,0,15000
50,2,4,14977,23,0,15000
50,2,5,14962,38,0,15000
50,2,6,14927,73,0,15000
50,2,7,14852,146,2,15000
50,2,8,14734,261,5,15000
50,2,9,14515,474,11,15000
50,2,10,14109,868,23,15000
50,2,11,13364,1598,38,15000
50,2,12,12101,2826,73,15000
50,2,13,10225,4627,148,15000
50,2,14,7744,6990,266,15000
50,2,15,5085,9430,485,15000
50,2,16,2877,11232,891,15000
50,2,17,1415,11949,1636,15000
50,2,18,700,11401,2899,15000
50,2,19,351,9874,4775,15000
50,2,20,173,7571,7256,15000
50,2,21,107,4978,9915,15000
50,2,22,79,2798,12123,15000
50,2,23,64,1351,13585,15000
50,2,24,59,641,14300,15000
50,2,25,56,295,14649,15000
50,2,26,56,117,14827,15000
50,2,27,56,51,14893,15000
50,2,28,55,24,14921,15000
50,2,29,55,9,14936,15000
50,2,30,55,4,14941,15000
50,2,31,55,1,14944,15000
50,2,32,55,1,14944,15000
50,2,33,55,1,14944,15000
50,3,0,14999,1,0,15000
50,3,1,14999,1,0,15000
50,3,2,14999,1,0,15000
50,3,3,14999,1,0,15000
50,3,4,14996,4,0,15000
50,3,5,14993,7,0,15000
50,3,6,14988,12,0,15000
50,3,7,14980,19,1,15000
50,3,8,14968,31,1,15000
50,3,9,14940,59,1,15000
50,3,10,14883,113,4,15000
50,3,11,14785,208,7,15000
50,3,12,14593,395,12,15000
50,3,13,14244,736,20,15000
50,3,14,13645,1323,32,15000
50,3,15,12554,2386,60,15000
50,3,16,10842,4041,117,15000
50,3,17,8521,6264,215,15000
50,3,18,5942,8651,407,15000
50,3,19,3517,10727,756,15000
50,3,20,1821,11824,1355,15000
50,3,21,883,11671,2446,15000
50,3,22,416,10426,4158,15000
50,3,23,217,8304,6479,15000
50,3,24,137,5805,9058,15000
50,3,25,92,3425,11483,15000
50,3,26,77,1744,13179,15000
50,3,27,66,817,14117,15000
50,3,28,61,355,14584,15000
50,3,29,58,159,14783,15000
50,3,30,57,80,14863,15000
50,3,31,56,36,14908,15000
50,3,32,56,21,14923,15000
50,3,33,55,11,14934,15000
50,3,34,55,6,14939,15000
50,3,35,55,3,14942,15000
50,3,36,55,2,14943,15000
50,3,37,55,1,14944,15000
50,3,38,55,1,14944,15000
50,3,39,54,1,14945,15000
50,3,40,54,1,14945,15000
50,3,41,54,1,14945,15000
50,3,42,54,1,14945,15000
50,3,43,54,1,14945,15000
50,3,44,54,1,14945,15000
50,4,0,14999,1,0,15000
50,4,1,14999,1,0,15000
50,4,2,14999,1,0,15000
50,4,3,14997,3,0,15000
50,4,4,14995,5,0,15000
50,4,5,14994,6,0,15000
50,4,6,14987,13,0,15000
50,4,7,14976,23,1,15000
50,4,8,14954,45,1,15000
50,4,9,14912,85,3,15000
50,4,10,14848,147,5,15000
50,4,11,14720,274,6,15000
50,4,12,14460,527,13,15000
50,4,13,14027,949,24,15000
50,4,14,13224,1730,46,15000
50,4,15,11941,2971,88,15000
50,4,16,9991,4857,152,15000
50,4,17,7518,7202,280,15000
50,4,18,4903,9557,540,15000
50,4,19,2749,11278,973,15000
50,4,20,1383,11841,1776,15000
50,4,21,652,11289,3059,15000
50,4,22,343,9648,5009,15000
50,4,23,203,7315,7482,15000
50,4,24,141,4762,10097,15000
50,4,25,101,2648,12251,15000
50,4,26,87,1296,13617,15000
50,4,27,81,571,14348,15000
50,4,28,78,265,14657,15000
50,4,29,78,125,14797,15000
50,4,30,78,63,14859,15000
50,4,31,77,24,14899,15000
50,4,32,77,10,14913,15000
50,4,33,77,4,14919,15000
50,4,34,77,1,14922,15000
50,4,35,77,1,14922,15000
50,4,36,77,1,14922,15000
50,5,0,14999,1,0,15000
50,5,1,14998,2,0,15000
50,5,2,14996,4,0,15000
50,5,3,14989,11,0,15000
50,5,4,14977,23,0,15000
50,5,5,14951,49,0,15000
50,5,6,14907,93,0,15000
50,5,7,14827,171,2,15000
50,5,8,14678,318,4,15000
50,5,9,14419,570,11,15000
50,5,10,13936,1041,23,15000
50,5,11,13089,1862,49,15000
50,5,12,11736,3171,93,15000
50,5,13,9705,5122,173,15000
50,5,14,7067,7611,322,15000
50,5,15,4507,9912,581,15000
50,5,16,2494,11442,1064,15000
50,5,17,1273,11816,1911,15000
50,5,18,638,11098,3264,15000
50,5,19,291,9414,5295,15000
50,5,20,165,6902,7933,15000
50,5,21,103,4404,10493,15000
50,5,22,87,2407,12506,15000
50,5,23,77,1196,13727,15000
50,5,24,72,566,14362,15000
50,5,25,70,221,14709,15000
50,5,26,70,95,14835,15000
50,5,27,70,33,14897,15000
50,5,28,70,17,14913,15000
50,5,29,70,7,14923,15000
50,5,30,69,3,14928,15000
50,5,31,69,1,14930,15000
50,5,32,69,1,14930,15000
50,5,33,69,1,14930,15000
50,5,34,69,1,14930,15000
50,5,35,69,1,14930,15000
60,1,0,11999,1,0,18000
60,1,1,11998,2,0,18000
60,1,2,11997,3,0,18000
60,1,3,11996,4,0,18000
60,1,4,11991,9,0,18000
60,1,5,11987,13,0,18000
